time,score
2021-12-17 19:04:42.452527,14
2021-12-17 19:57:16.507261,7
2021-12-17 19:57:52.356116,13
2021-12-17 19:58:27.503649,2
2021-12-17 19:59:03.288278,11
2021-12-17 19:59:38.723861,12
2021-12-17 20:27:19.415376,15
2021-12-17 20:31:03.816326,8
2021-12-17 20:33:21.241708,7
2021-12-17 20:35:53.892005,12
2021-12-17 20:44:28.929665,5
2021-12-17 20:52:37.522800,10
2021-12-17 20:54:08.763494,12
2021-12-17 20:55:20.216403,13
2021-12-17 20:56:25.118196,1
2021-12-17 20:57:34.571671,5
2021-12-17 21:00:48.043225,0
2021-12-17 21:01:39.027094,3
2021-12-17 21:02:30.309438,0
2021-12-17 21:06:21.806364,7
2021-12-17 21:09:54.796029,14
2021-12-17 22:09:15.872951,7
2021-12-18 10:10:19.212191,7
2021-12-18 10:12:02.145945,12
2021-12-18 10:12:52.616421,9
2021-12-18 10:13:31.997047,10
2021-12-18 10:15:24.318404,11
